model,f1_mean,f1_std,acc_mean,auc_mean,prec_mean,rec_mean,params,timestamp
baseline,0.047619047619047616,0.0,0.16666666666666666,0.5,0.02777777777777778,0.16666666666666666,default,2026-04-28T21:37:11.391507+00:00
logreg,0.8026190476190477,0.06336132924969046,0.8083333333333333,0.9745833333333334,0.836111111111111,0.8083333333333333,default,2026-04-28T21:37:11.686161+00:00
rf,0.8029365079365078,0.06869506987860466,0.8083333333333333,0.9668749999999999,0.8305555555555555,0.8083333333333333,default,2026-04-28T21:37:14.735557+00:00
gb,0.7922222222222223,0.06805718937163995,0.8,0.9475,0.8333333333333333,0.8,default,2026-04-28T21:37:26.969629+00:00
rf_tuned,0.8203535353535353,0.0741641887342583,0.825,0.9758333333333333,0.8551587301587302,0.825,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",2026-04-28T21:37:57.028386+00:00
gb_tuned,0.8221164021164021,0.0797706304948379,0.825,0.9243750000000001,0.861111111111111,0.825,"{'clf__learning_rate': 0.01, 'clf__max_depth': 7, 'clf__n_estimators': 100}",2026-04-28T21:39:04.391367+00:00
